,index,text,description,modified_text_A,modified_text_B,modified_text_C,modified_text_D,modified_text_E,location_original,location_A,location_B,location_C,location_D,location_E,all_locations
10,10,I-29 CLOSED from Grand Forks to the Canadian Border,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have CLOSED I-29 from Grand Forks to the Canadian Border due to snow and blowing snow which is creating near zero visibility and ditches full of water adding to the hazardous driving conditions. I-29 is now CLOSED from the Canadian Border to the South Dakota Line. Also I-94 CLOSED from Jamestown to Fargo and ND Highway 13 is CLOSED from I-29 to Wahpeton. 
 
A No Travel Advisory is still in effect for east of Jamestown, Hillsboro, Valley City, Fargo, Casselton, Lisbon, Edgeley, Ellendale, Ashley, Wahpeton and surrounding areas due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions.  
 
Commercial Motor Vehicle parking is becoming LIMITED at the interstate closure points in eastern North Dakota. Commercial Motor Vehicles should consider stopping prior to closure points. Jamestown especially has limited truck park available and commercial trucks should consider stopping in Bismarck or Steele. 
 
 
The three categories are as follows:
 
1.   TRAVEL ALERT– Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate. 
 
2.   NO TRAVEL ADVISED– Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.  
 
3.   ROAD CLOSED OR BLOCKED– Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250. 
 
All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.
 
 
For statewide flooding information, please go https://ndresponse.gov/",Interstate 29  at Grand Forks at the Canadian Border,At Interstate 29  from Grand Forks to the Canadian Border,At Interstate 29  from Grand Forks to the Canadian Border,At Interstate 29  from Grand Forks to the Canadian Border,At Interstate 29  from Grand Forks to the Canadian Border,{'Grand Forks'},"{'Interstate 29  ', 'Grand Forks'}","{'Interstate 29  ', 'Grand Forks'}","{'Interstate 29  ', 'Grand Forks'}","{'Interstate 29  ', 'Grand Forks'}","{'Interstate 29  ', 'Grand Forks'}","{'Interstate 29  ', 'Grand Forks'}"
11,11,I-29 CLOSED from Fargo to Grand Forks; I-94 CLOSED from Jamestown to Fargo; Truck parking limited at North Dakota interstate closure points,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have CLOSED I-29 from Fargo to Grand Forks and have also CLOSED I-94 from Jamestown to Fargo due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions.
A No Travel Advisory has also been issued for east of Jamestown, Hillsboro, Valley City and surrounding areas due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions.
Commercial Motor Vehicle parking is becoming LIMITED at the interstate closure points in eastern North Dakota. Commercial Motor Vehicles should consider stopping prior to closure points. Jamestown especially has limited truck park available and commercial trucks should consider stopping in Bismarck or Steele. 
Other road closures include:

I-29 from Fargo to the South Dakota Border
ND Highway 13 from I-29 to Wahpeton

Also a No Travel Advisory is still in effect for the following cities: Fargo, Casselton, Lisbon, Edgeley, Ellendale, Ashley, Wahpeton and surrounding areas due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions.
The three categories are as follows:

TRAVEL ALERT– Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate.
NO TRAVEL ADVISED– Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.
ROAD CLOSED OR BLOCKED– Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250.

All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.
For statewide flooding information, please go https://ndresponse.gov/",Interstate 29  at Fargo at Grand Forks; Interstate 94  at Jamestown at Fargo; Truck parking limited at North Dakota interstate closure points,At Interstate 29  from Fargo to Grand Forks; Interstate 94  from Jamestown to Fargo; Truck parking limited at North Dakota interstate closure points,At Interstate 29  from Fargo to Grand Forks; Interstate 94  from Jamestown to Fargo; Truck parking limited at North Dakota interstate closure points,At Interstate 29  from Fargo to Grand Forks; Interstate 94  from Jamestown to Fargo; Truck parking limited at North Dakota interstate closure points,At Interstate 29  from Fargo to Grand Forks; Interstate 94  from Jamestown to Fargo; Truck parking limited at North Dakota interstate closure points,"{'Jamestown', 'Fargo', 'Grand Forks', 'North Dakota'}","{'Fargo', 'Jamestown at Fargo', 'Grand Forks', 'Interstate 94  ', 'North Dakota'}","{'Fargo', 'Jamestown', 'Interstate 29  ', 'Grand Forks', 'Interstate 94  ', 'North Dakota'}","{'Fargo', 'Jamestown', 'Interstate 29  ', 'Grand Forks', 'Interstate 94  ', 'North Dakota'}","{'Fargo', 'Jamestown', 'Interstate 29  ', 'Grand Forks', 'Interstate 94  ', 'North Dakota'}","{'Fargo', 'Jamestown', 'Interstate 29  ', 'Grand Forks', 'Interstate 94  ', 'North Dakota'}","{'Fargo', 'Jamestown', 'Jamestown at Fargo', 'Grand Forks', 'North Dakota', 'Interstate 94  ', 'Interstate 29  '}"
12,12,No Travel Advisory extended in southeastern portion of the state,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have extended the No Travel Advisory in the southeastern portion of the state to include Fargo, Casselton, Lisbon, Edgeley, Ellendale, Ashley and surrounding areas due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions. Also a No Travel Advisory is still in effect for Wahpeton and surrounding areas.
Road Closures include:

I-29 from Fargo to the South Dakota Border
ND Highway 13 from I-29 to Wahpeton

The three categories are as follows:

TRAVEL ALERT– Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate.
NO TRAVEL ADVISED– Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.

 

ROAD CLOSED OR BLOCKED– Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250.

All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.
For statewide flooding information, please go https://ndresponse.gov/",No Travel Advisory extended at southeastern portion of the state,At No Travel Advisory extended at southeastern portion of the state,At No Travel Advisory extended at southeastern portion of the state,At No Travel Advisory extended at southeastern portion of the state,At No Travel Advisory extended at southeastern portion of the state,,,{'No Travel Advisory'},{'No Travel Advisory'},{'No Travel Advisory'},{'No Travel Advisory'},{'No Travel Advisory'}
13,13,No Travel Advised for Wahpeton and surrounding areas ,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have issued a No Travel Advisory for Wahpeton and surrounding areas due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions.
A No Travel Advised means conditions are such that motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.
All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.",No Travel Advised for Wahpeton and at surrounding areas ,At No Travel Advised for Wahpeton and surrounding areas ,At No Travel Advised for Wahpeton and surrounding areas ,At No Travel Advised for Wahpeton and surrounding areas ,At No Travel Advised for Wahpeton and surrounding areas ,,,,,,,set()
14,14,I-29 CLOSED from Fargo to South Dakota Border; ND Highway 13 CLOSED from I-29 to Wahpeton,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have CLOSED I-29 from Fargo to the South Dakota Border and have also CLOSED ND Highway 13 from I-29 to Wahpeton, due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions.
A No Travel Advisory is in effect for Wahpeton and surrounding areas due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions.
The three categories are as follows:

TRAVEL ALERT– Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate.
NO TRAVEL ADVISED– Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.
ROAD CLOSED OR BLOCKED– Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250.

All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.
For statewide flooding information, please go https://ndresponse.gov/",Interstate 29  at Fargo at South Dakota Border; ND Highway 13  at Interstate 29 at Wahpeton,At Interstate 29  from Fargo to South Dakota Border; ND Highway 13  from Interstate 29 to Wahpeton,At Interstate 29  from Fargo to South Dakota Border; ND Highway 13  from Interstate 29 to Wahpeton,At Interstate 29  from Fargo to South Dakota Border; ND Highway 13  from Interstate 29 to Wahpeton,At Interstate 29  from Fargo to South Dakota Border; ND Highway 13  from Interstate 29 to Wahpeton,"{'Fargo', 'ND Highway', 'South Dakota Border'}","{'Fargo', 'Wahpeton', 'Interstate 29'}","{'Fargo', 'Interstate 29  ', 'Interstate 29', 'Wahpeton', 'South Dakota Border'}","{'Fargo', 'Interstate 29  ', 'Interstate 29', 'Wahpeton', 'South Dakota Border'}","{'Fargo', 'Interstate 29  ', 'Interstate 29', 'Wahpeton', 'South Dakota Border'}","{'Fargo', 'Interstate 29  ', 'Interstate 29', 'Wahpeton', 'South Dakota Border'}","{'Fargo', 'ND Highway', 'Interstate 29  ', 'Interstate 29', 'Wahpeton', 'South Dakota Border'}"
15,15,Northbound I-29 Exit 164 north of Grand Forks Temporarily Closed,"The North Dakota Department of Transportation has temporarily closed the northbound off-ramp of I-29 Exit 164, approximately 20 miles north of Grand Forks, due to water on the roadway. This exit will be closed until river levels recede and motorists will need to take an alternate route.
The NDDOT urges motorists to check road conditions before traveling due to rapidly changing conditions. Fluctuating water levels make it difficult to predict when and where water will go over a roadway or recede from the roadway. For updated road information, call 511 from any type of phone or go to the Travel Information Map on our website at www.dot.nd.gov.",Northbound Interstate 29 Exit 164 north of Grand Forks Temporarily Closed,At Northbound Interstate 29 Exit 164 north of Grand Forks Temporarily Closed,At Northbound Interstate 29 Exit 164 north of Grand Forks Temporarily Closed,At Northbound Interstate 29 Exit 164 north of Grand Forks Temporarily Closed,At Northbound Interstate 29 Exit 164 north of Grand Forks Temporarily Closed,"{'Exit 164', 'Grand Forks Temporarily Closed'}",,,,,,"{'Exit 164', 'Grand Forks Temporarily Closed'}"
16,16,Highway 54 CLOSED from I-29 to the Red River ,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have CLOSED Highway 54 from I-29 to the Red River due to water over the road until river levels recede. There is no signed detour. Motorists are asked to use alternate routes.
NDDOT encourages motorists to check road conditions before traveling. For updated road information, call 511 from any type of phone or go to the Travel Information Map on our website at www.dot.nd.gov",Highway 54  at Interstate 29 at the Red River ,At Highway 54  from Interstate 29 to the Red River ,At Highway 54  from Interstate 29 to the Red River ,At Highway 54  from Interstate 29 to the Red River ,At Highway 54  from Interstate 29 to the Red River ,,{'Interstate 29'},{'Interstate 29'},{'Interstate 29'},{'Interstate 29'},{'Interstate 29'},{'Interstate 29'}
17,17,Motorists to use caution as winter storm and flooded ditches could impact travelers ,"The North Dakota Department of Transportation (NDDOT) is urging motorists to use caution if planning to travel this week in eastern North Dakota as the National Weather Service has issued a Winter Storm Warning for portions of the state. Because of the current flood conditions this spring, there is extra concern for motorists due to water filled ditches along many roadways in eastern North Dakota. Motorists should slow down and drive for the conditions if road conditions deteriorate.
All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.
For statewide flooding information, please go https://ndresponse.gov/.",Motorists at use caution as winter storm and at flooded ditches could impact travelers ,At Motorists to use caution as winter storm and flooded ditches could impact travelers ,At Motorists to use caution as winter storm and flooded ditches could impact travelers ,At Motorists to use caution as winter storm and flooded ditches could impact travelers ,At Motorists to use caution as winter storm and flooded ditches could impact travelers ,,,,,,,set()
18,18,I-29 closed in South Dakota; Water on roadway on ND 1 at SD border,"Officials with the South Dakota Departments of Transportation and Public Safety have closed Interstate 29 from Brookings to the North Dakota border due to blizzard conditions. 
In addition, water is on the roadway on ND Highway 1 at the South Dakota border. Motorists must stop and take turns. The NDDOT urges motorists to check road conditions before traveling due to rapidly changing conditions. Fluctuating water levels make it difficult to predict when and where water will go over a roadway or recede from the roadway.
The NDDOT encourages motorists to check road conditions before traveling due to rapidly changing conditions. For updated road information, call 511 from any type of phone or go to the Travel Information Map on our website at www.dot.nd.gov.",Interstate 29 closed at South Dakota; Water on roadway on ND 1 at SD border,At Interstate 29 closed at South Dakota; Water on roadway on ND 1 at SD border,At Interstate 29 closed at South Dakota; Water on roadway on ND 1 at SD border,At Interstate 29 closed at South Dakota; Water on roadway on ND 1 at SD border,At Interstate 29 closed at South Dakota; Water on roadway on ND 1 at SD border,"{'South Dakota', 'ND 1'}","{'South Dakota', 'ND 1'}","{'South Dakota', 'ND 1', 'Interstate 29'}","{'South Dakota', 'ND 1', 'Interstate 29'}","{'South Dakota', 'ND 1', 'Interstate 29'}","{'South Dakota', 'ND 1', 'Interstate 29'}","{'Interstate 29', 'South Dakota', 'ND 1'}"
19,19,"ND 54 near Oslo, MN to temporarily close due to flooding ","ND Highway 54 is anticipated to temporarily close from I-29 to the Red River near Oslo, MN due to flooding. Motorists must utilize an alternate route during the closure.
Motorists should drive with caution as flooding continues to affect the area highways and should check road conditions before traveling due to rapidly changing conditions. For road information, call 511 from any type of phone or go to the website www.dot.nd.gov.
NDDOT warns motorists that driving through water is dangerous and should not drive around barricades or into flooded areas as vehicles that leave the roadway may become immersed in high water. For road information, call 511 from any type of phone or go to the Travel Information Map on our website: https://www.dot.nd.gov/travel-info-v2/","ND 54 at Oslo, MN at temporarily close due at flooding ","At ND 54 near Oslo, MN to temporarily close due to flooding ","At ND 54 near Oslo, MN to temporarily close due to flooding ","At ND 54 near Oslo, MN to temporarily close due to flooding ","At ND 54 near Oslo, MN to temporarily close due to flooding ","{'Oslo', 'MN'}","{'Oslo', 'MN'}","{'Oslo', 'ND', 'MN'}","{'Oslo', 'ND', 'MN'}","{'Oslo', 'ND', 'MN'}","{'Oslo', 'ND', 'MN'}","{'MN', 'Oslo', 'ND'}"
20,20,Sorlie Bridge in Grand Forks temporarily closed due to flooding ,"The North Dakota Department of Transportation (NDDOT) along with the Minnesota Department of Transportation (MnDOT) have closed the Sorlie Bridge in Grand Forks/East Grand Forks as of noon, April 8 due to flooding on Business US Highway 2 (DeMers Ave.) near the bridge. The bridge will remain closed until river levels recede.
In addition, MnDOT has closed the following roadways in Minnesota which may impact North Dakota drivers.

MN 317,  which is across the river from ND 17 east of Grafton
MN 220, which is the north/south roadway adjacent to the Red River which goes from Oslo, MN (ND 54) to Robin (ND 66 at Drayton)

Motorists should drive with caution as flooding continues to affect the area highways and should check road conditions before traveling due to rapidly changing conditions. For road information, call 511 from any type of phone or go to the website www.dot.nd.gov.
NDDOT warns motorists that driving through water is dangerous and should not drive around barricades or into flooded areas as vehicles that leave the roadway may become immersed in high water. For road information, call 511 from any type of phone or go to the Travel Information Map on our website: https://www.dot.nd.gov/travel-info-v2/",Sorlie Bridge at Grand Forks temporarily closed due at flooding ,At Sorlie Bridge at Grand Forks temporarily closed due to flooding ,At Sorlie Bridge at Grand Forks temporarily closed due to flooding ,At Sorlie Bridge at Grand Forks temporarily closed due to flooding ,At Sorlie Bridge at Grand Forks temporarily closed due to flooding ,{'Grand Forks'},{'Grand Forks'},"{'Sorlie Bridge', 'Grand Forks'}","{'Sorlie Bridge', 'Grand Forks'}","{'Sorlie Bridge', 'Grand Forks'}","{'Sorlie Bridge', 'Grand Forks'}","{'Sorlie Bridge', 'Grand Forks'}"
21,21,Sorlie Bridge to temporarily close due to flooding,"The North Dakota Department of Transportation (NDDOT) along with the Minnesota Department of Transportation (MnDOT) anticipate the closure of the Sorlie Bridge due to flooding on Business US Highway 2 (DeMers Ave) near the bridge. The closure is expected to take place the middle of next week. Motorists must use an alternative route during the closure. The cities of Grand Forks and East Grand Forks will announce its closure as it fits into the cities flood efforts.
Motorists should drive with caution as flooding continues to affect the area highways and should check road conditions before traveling due to rapidly changing conditions. For road information, call 511 from any type of phone or go to the website www.dot.nd.gov.
NDDOT warns motorists that driving through water is dangerous and should not drive around barricades or into flooded areas as vehicles that leave the roadway may become immersed in high water. For road information, call 511 from any type of phone or go to the Travel Information Map on our website: https://www.dot.nd.gov/travel-info-v2/",Sorlie Bridge at temporarily close due at flooding,At Sorlie Bridge to temporarily close due to flooding,At Sorlie Bridge to temporarily close due to flooding,At Sorlie Bridge to temporarily close due to flooding,At Sorlie Bridge to temporarily close due to flooding,,,{'Sorlie Bridge'},{'Sorlie Bridge'},{'Sorlie Bridge'},{'Sorlie Bridge'},{'Sorlie Bridge'}
22,22,Seasonal load restrictions added or changed on North Dakota Highways on April 2,"Effective 7 a.m. (CT), Tuesday, April 2, 2019, load restrictions will be added on the following North Dakota Highways:

Highway
3 from Rugby to the Canadian Border
Highways south of and including Highway 2 from
the Jct. of
Highway 3 east
to the Jct. of Highway 1
Highway
1 from the
Jct. of Highway 2 south to the
Jct. of Highway 65
Highway 15 from the Jct. of
Highway 1 east to the Jct. of Highway 32 
Highway 66 from the Jct. of
Highway 20 east
to the Jct. of Highway 1


Effective 7 a.m. (CT), Tuesday, April 2, 2019, load restrictions will be changed on
North Dakota Highway 200 from
Cartwright to the Jct. of Highway 85.
Motorists
are encouraged to check current load restrictions to determine which load
restriction remain in effect. Load restrictions may change quickly due to
weather. Statewide seasonal load restriction information is
available by calling 511 or online at www.dot.nd.gov/travel-info. 
Please refer to the following
link to see details of load restrictions for current and future orders, obtain printable maps and Text Version. http://www.dot.nd.gov/roadreport/loadlimit/loadlimitinfo.asp",Seasonal load restrictions added or changed on North Dakota Highways on April 2,At Seasonal load restrictions added or changed on North Dakota Highways on April 2,At Seasonal load restrictions added or changed on North Dakota Highways on April 2,At Seasonal load restrictions added or changed on North Dakota Highways on April 2,At Seasonal load restrictions added or changed on North Dakota Highways on April 2,{'North Dakota'},{'North Dakota'},{'Seasonal'},{'Seasonal'},{'Seasonal'},{'Seasonal'},"{'North Dakota', 'Seasonal'}"
